Subregion,gay bar,gay club
New York,100,100
District of Columbia,83,96
Nevada,68,97
Florida,63,100
California,62,87
Illinois,61,56
Hawaii,60,52
Massachusetts,56,77
Washington,54,52
Arizona,52,51
New Jersey,50,71
Kentucky,48,46
Georgia,48,78
Texas,47,69
Louisiana,47,58
Pennsylvania,47,59
Colorado,46,51
Minnesota,45,37
Missouri,45,50
Tennessee,45,52
Michigan,45,50
Ohio,44,52
Connecticut,43,61
Vermont,43,42
Oklahoma,42,49
Indiana,41,44
Virginia,41,57
Wisconsin,41,39
Rhode Island,41,71
Maryland,41,65
Maine,40,42
Mississippi,39,52
West Virginia,39,44
Delaware,38,47
North Carolina,38,60
Kansas,38,40
South Carolina,38,64
New Mexico,37,43
Alabama,36,50
Oregon,35,37
Iowa,34,30
Nebraska,32,33
New Hampshire,31,47
Alaska,30,32
Arkansas,30,42
Montana,28,0
Utah,28,42
Idaho,22,28
North Dakota,0,0
South Dakota,0,0
Wyoming,0,0
