source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
"The N.Y.C Gay Scene Guide, 1969",The Rat Race,false,76th and 1st,Piano,New York,NY,1965,0101000020E6100000C8214511107D52C027ECEC759C624440,1975,gay,,,true,false,false,135,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Gold Rail,false,2850 Broadway,Bar,New York,NY,1965,0101000020E61000003D3424D5D47D52C021D9AF7DF9664440,1975,gay,,,true,true,false,255,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",Old Vic,false,,Dance,New York,Ny,1965,0101000020E6100000FFFF1F24A47D52C097E18ADE69614440,1975,gay,,,true,true,false,90,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html,Barbary Coast,false,,,New York,NY,1980,0101000020E61000001E83FC09FA7F52C0E726BDB1985E4440,1990,gay,,,,,,96,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",Second Floor,false,,Piano,New York,NY,1965,0101000020E6100000CDD180CD7B7E52C005F93CF3B0614440,1975,gay,,,true,true,false,104,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html,North Dakota,false,,,New York,ny,1980,0101000020E61000000000006D897E52C00DE0EB02AA5F4440,1986,,,,,,,111,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html; The N.Y.C Gay Scene Guide, 1969",Harry's Back East,false,1422 Third Av,,New York,ny,1965,0101000020E6100000000000EA3A7D52C06CB8BFED41634440,1982,gay,,"1969, 1979",,,,114,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html ; https://www.facebook.com/pages/The-Original-Uncle-Charlies-Downtown-NYC-west-village/136472266406009?sk=info&tab=page_info,Uncle Charlie's Downtown,false,55 Greenwich St,Bar,New York,NY,1980,0101000020E61000000000C0DB0D8052C0E67DAFCE2E5E4440,1997,gay,,1990-1991,,true,,119,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://nymag.com/nightlife/features/gay-bar-history-2013-1/,The Mineshaft,false,835 Washington Street,Leather,New York,NY,1976,0101000020E610000000000021798052C02B06926FCD5E4440,1985,Gay,,,true,,,127,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html,Rounds,false,303 East 53 St,Restaurant,New York,NY,1975,0101000020E61000000000C0D1DD7D52C046E36F73DB604440,1985,gay,Years are inaccurate,,,true,,133,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://thestarryeye.typepad.com/gay/2014/03/gay-bars-of-nyc-rip-.html,Regency East,false,Eat 58th Street & 3rd Avenue ,Gentlemen,New York,ny,1980,0101000020E61000000000C0F8E37D52C055F4085366614440,1990,gay,years are inaccurate. ,,,,,134,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://nymag.com/nightlife/features/gay-bar-history-2013-1/,Ansonia,false,230 West 74th Street,Bathouse,New York,NY,1968,0101000020E610000000004032DE7E52C04C8593D9E7634440,1977,Gay,,,true,,,136,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://manhattan.about.com/od/gay_nyc_history/a/chelsea_new_york_gay_history.htm,Mother's,false,267 West 23rd Street,Bar,New York,NY,1975,0101000020E61000000000609BDB7F52C09923208C625F4440,1980,Gay,years inaccurate,,true,,,137,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
