source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
,Uncle Paul's,false,,,,,,0101000020E610000000008028018052C03FDEDE9BEC5D4440,,,,,,,,99,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Rat Race,false,76th and 1st,Piano,New York,NY,1965,0101000020E6100000C8214511107D52C027ECEC759C624440,1975,gay,,,true,false,false,135,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
"The N.Y.C Gay Scene Guide, 1969",The Gold Rail,false,2850 Broadway,Bar,New York,NY,1965,0101000020E61000003D3424D5D47D52C021D9AF7DF9664440,1975,gay,,,true,true,false,255,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,King Cinema,false,356 West 44 St,-73.99040914,New York,NY,,0101000020E610000000000067707F52C0F9E22A8734614440,,,,,true,true,false,474,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Blooming dales,false,,,New York,NY,,0101000020E6100000000000153C7E52C00A9276C081614440,,,,,true,true,false,699,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
jferzoco,The Saint,false,105 Second Av,Dance,,NY,1980,0101000020E610000000000064467F52C0019D0345245D4440,,gay,,,,true,,95,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Bull Pen,false,21 Ann St,Booths,New York,NY,,0101000020E61000003438290E7E8052C071D3D5C1FA5A4440,,,,,true,true,false,310,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Show Palace,false,670 Eighth Av,-73.98951781,New York,NY,,0101000020E610000000008006517F52C009D09ED0F5604440,,,,,true,true,false,586,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,West World,false,354 West St,-74.01057526,New York,NY,,0101000020E610000000000089A78052C0D2BE6E776E5D4440,,,,,true,true,false,665,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
jferzoco,Dugout,false,,Bear,New York,NY,,0101000020E6100000DBEC7A2F9F8052C011ECF0BEC75D4440,2011,gay,,,,,,1,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
jferzoco (need exact location),The Cock (v1),false,,Club,New York,NY,,0101000020E61000007798FE3EC67E52C0ACD9B1AE5D5D4440,2006,mixed,,,,,,2,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://newyork.gaycities.com/bars/1293-bum-bum-bar,Bum Bum Bar,true,14 Roosevelt Ave,,Woodside,NY,,0101000020E6100000A937FE9F9E7952C01DCC26C0B05F4440,,,,,,,,3,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
http://newyork.gaycities.com/bars/300214-ardesia,Ardesia,true,510 West 52nd Street,,New York,NY,,0101000020E610000075FBF6BF6D7F52C0FCE1E7BF07624440,,,,,,,,4,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
